Course Name,Company Offering,Skills Gained,Ratings,Number of Ratings
Google Data Analytics,Google,"Data Analysis, R Programming, SQL, Business Communication, Spreadsheet Software, Business Analysis, Data Visualization, Data Management, General Statistics, Big Data, Communication, Computer Programming, Data Science, Data Visualization Software, Databases, Exploratory Data Analysis, Extract, Transform, Load, Leadership and Management, Microsoft Excel, Problem Solving, Small Data, Statistical Programming, Tableau Software",4.8,141000
Google Cybersecurity,Google,"Network Security, Python Programming, Linux, Cloud Computing, Algorithms, Audit, Computer Programming, Computer Security Incident Management, Cryptography, Databases, Leadership and Management, Network Architecture, Risk Management, SQL",4.8,26000
Google Project Management:,Google,"Project Management, Strategy and Operations, Leadership and Management, Communication, Business Communication, Collaboration, Agile Software Development, Software Engineering, Entrepreneurship, Scrum (Software Development), Planning, Supply Chain and Logistics, Change Management, Finance, Organizational Development, Product Management, Risk Management, Budget Management, Influencing, Culture, Emotional Intelligence, People Management, Problem Solving, Procurement",4.8,104000
IBM Data Science,IBM,"Python Programming, Machine Learning, Data Science, Data Analysis, Algorithms, Data Management, Data Visualization, Human Learning, R Programming, Computer Programming, Database Application, Database Theory, Databases, Deep Learning, Exploratory Data Analysis, Machine Learning Algorithms, Plot (Graphics), Professional Development, SQL, Data Model, Statistical Machine Learning, General Statistics, Probability & Statistics, Regression, Reinforcement Learning, Statistical Programming, Big Data, Cloud Computing, Data Mining, IBM Cloud, Writing",4.6,123000
Google Digital Marketing & E-commerce,Google,"Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Sales, E-Commerce, Data Analysis, Social Media, Search Engine Optimization, Advertising, Communication, Persona Research, Strategy, Web Design, Web Development, Web Development Tools, Writing, Data Management, Market Analysis",4.8,25000
IBM Data Analyst,IBM,"Python Programming, Microsoft Excel, Data Visualization, Data Analysis, Spreadsheet Software, Data Management, Databases, Exploratory Data Analysis, SQL, Plot (Graphics), Business Analysis, Database Theory, Machine Learning, Computer Programming, Database Application, Professional Development, Statistical Visualization, Data Mining, Data Science, General Statistics, NoSQL, R Programming, Cloud Computing, Data Visualization Software, IBM Cloud, Interactive Data Visualization, Machine Learning Algorithms, Probability & Statistics, Regression, Statistical Programming",4.6,75000
Google UX Design,Google,"User Experience, User Experience Design, User Research, Audit, Human Computer Interaction, Planning, Product Design, Product Development, Web Design, Web Development Tools",4.8,78000
Google IT Support,Google,"Computer Networking, Network Architecture, Network Model, Networking Hardware, Network Analysis, Computer Architecture, Critical Thinking, Problem Solving, Communication, Human Computer Interaction, Network Security, Linux, System Security, Cloud Computing, Computer Programming, Customer Support, Cryptography, Leadership and Management, Operating Systems",4.8,185000
Machine Learning,Multiple educators,"Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Deep Learning, Machine Learning Software, Artificial Neural Networks, Human Learning, Statistical Machine Learning, Python Programming, Regression, Mathematics, Tensorflow, Critical Thinking, Network Model, Reinforcement Learning",4.9,21000
IBM Applied AI,IBM,"Machine Learning, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Computer Vision, Python Programming, Cloud Computing, Human Learning, IBM Cloud, Applied Machine Learning, Natural Language Processing, Algorithms, Machine Learning Software, Human Computer Interaction, Computer Programming, Cloud API, Cloud Applications, Computer Programming Tools, Application Development, Visualization (Computer Graphics), Data Analysis, User Experience Design, Data Science",4.6,49000
IBM DevOps and Software Engineering,IBM,"DevOps, Software Engineering, Cloud Computing, Computer Programming, Application Development, Python Programming, Software Architecture, Cloud Applications, Continuous Delivery, Continuous Integration, Software Engineering Tools, Agile Software Development, Programming Principles, Security Engineering, Software Testing, Cloud Infrastructure, Kubernetes, Cloud-Based Integration, Microarchitecture, Cloud Platforms, Communication, IBM Cloud, Scrum (Software Development), Software Security, Other Cloud Platforms and Tools, Cloud Storage, Docker (Software), Linux, Software-Defined Networking, User Experience Design, Collaboration, Leadership and Management, Data Analysis, Mergers & Acquisitions",4.6,46000
Introduction to Data Science,IBM,"Data Science, Python Programming, Data Analysis, Data Management, R Programming, Computer Programming, Database Application, Database Theory, Databases, Professional Development, SQL, Data Model, Machine Learning, Statistical Machine Learning, Big Data, Cloud Computing, Data Mining, Deep Learning, IBM Cloud, Regression, Writing",4.6,88000
